Lottery Number,Project Name,PHN,Street Name,Boro,NC/Pres,Oversight Agency,Unit Size,Rent,Number of Units,Eligible Household Size,income_min1,income_max1,hh_size2,income_min2,income_max2,hh_size3,income_min3,income_max3,hh_size4,income_min4,income_max4,hh_size5,income_min5,income_max5,hh_size6,income_min6,income_max6,Total Application Count,OPEN APPLICATION PERIOD START,open_year,Project Close,Open Market units
88,Utica Place Residential,1339,LINCOLN PLACE,3,New Construction,HDC,2,1022,23,2,36823,40320,3,36823,45360,4,36823,50340,,,,,,,,,,38282,3/14/14,2014,12/24/14,
88,Utica Place Residential,1339,LINCOLN PLACE,3,New Construction,HDC,3,1175,7,3,42412,45360,4,42412,50340,5,42412,54420,6,42412,58440,,,,,,,38282,3/14/14,2014,12/24/14,
89,Harlem West 117,24,WEST 117 STREET,1,New Construction,HPD,0,491,9,1,19637,23520,,,,,,,,,,,,,,,,56692,3/6/14,2014,NA,
89,Harlem West 117,24,WEST 117 STREET,1,New Construction,HPD,0,635,3,1,24873,29400,,,,,,,,,,,,,,,,56692,3/6/14,2014,NA,
89,Harlem West 117,24,WEST 117 STREET,1,New Construction,HPD,1,528,7,1,21019,23520,2,21019,26880,,,,,,,,,,,,,56692,3/6/14,2014,NA,
89,Harlem West 117,24,WEST 117 STREET,1,New Construction,HPD,1,682,3,1,26619,29400,2,26619,33600,,,,,,,,,,,,,56692,3/6/14,2014,NA,
89,Harlem West 117,24,WEST 117 STREET,1,New Construction,HPD,1,835,26,1,32182,35280,2,32182,40320,,,,,,,,,,,,,56692,3/6/14,2014,NA,
89,Harlem West 117,24,WEST 117 STREET,1,New Construction,HPD,2,643,2,2,25273,26880,3,25273,30240,4,25273,33560,,,,,,,,,,56692,3/6/14,2014,NA,
89,Harlem West 117,24,WEST 117 STREET,1,New Construction,HPD,2,1011,41,2,38655,40320,3,38655,45360,4,38655,50340,,,,,,,,,,56692,3/6/14,2014,NA,
89,Harlem West 117,24,WEST 117 STREET,1,New Construction,HPD,3,950,1,4,36800,41950,5,36800,45350,6,36800,48700,,,,,,,,,,56692,3/6/14,2014,NA,
89,Harlem West 117,24,WEST 117 STREET,1,New Construction,HPD,3,1163,7,4,44546,50340,5,44546,54420,6,44546,58440,,,,,,,,,,56692,3/6/14,2014,NA,
90,Knickerbocker Commons,803,KNICKERBOCKER AVENUE,3,New Construction,HPD,1,689,1,1,25338,29400,2,25338,33600,,,,,,,,,,,,,23493,3/12/14,2014,NA,
90,Knickerbocker Commons,803,KNICKERBOCKER AVENUE,3,New Construction,HPD,1,844,2,1,30652,35280,2,30652,40320,,,,,,,,,,,,,23493,3/12/14,2014,NA,
90,Knickerbocker Commons,803,KNICKERBOCKER AVENUE,3,New Construction,HPD,2,835,4,2,30412,33600,3,30412,37800,4,30412,41950,,,,,,,,,,23493,3/12/14,2014,NA,
90,Knickerbocker Commons,803,KNICKERBOCKER AVENUE,3,New Construction,HPD,2,1022,7,2,36823,40320,3,36823,45360,4,36823,50340,,,,,,,,,,23493,3/12/14,2014,NA,
90,Knickerbocker Commons,803,KNICKERBOCKER AVENUE,3,New Construction,HPD,3,1175,3,4,42412,50340,5,42412,54420,6,42412,58440,,,,,,,,,,23493,3/12/14,2014,NA,
91,Crossroads Plaza III,535,UNION AVENUE,2,New Construction,HDC,0,494,1,1,18618,23520,,,,,,,,,,,,,,,,42909,3/14/14,2014,3/21/16,
91,Crossroads Plaza III,535,UNION AVENUE,2,New Construction,HDC,0,785,1,1,28595,35280,,,,,,,,,,,,,,,,42909,3/14/14,2014,3/21/16,
91,Crossroads Plaza III,535,UNION AVENUE,2,New Construction,HDC,0,939,5,1,33875,58800,,,,,,,,,,,,,,,,42909,3/14/14,2014,3/21/16,
91,Crossroads Plaza III,535,UNION AVENUE,2,New Construction,HDC,1,533,5,1,19989,23520,2,19989,26880,,,,,,,,,,,,,42909,3/14/14,2014,3/21/16,
91,Crossroads Plaza III,535,UNION AVENUE,2,New Construction,HDC,1,844,6,1,30652,35280,2,30652,40320,,,,,,,,,,,,,42909,3/14/14,2014,3/21/16,
91,Crossroads Plaza III,535,UNION AVENUE,2,New Construction,HDC,1,1187,31,1,42412,58800,2,42412,58800,,,,,,,,,,,,,42909,3/14/14,2014,3/21/16,
91,Crossroads Plaza III,535,UNION AVENUE,2,New Construction,HDC,2,648,7,2,24000,26880,3,24000,30240,4,24000,33560,,,,,,,,,,42909,3/14/14,2014,3/21/16,
91,Crossroads Plaza III,535,UNION AVENUE,2,New Construction,HDC,2,1022,11,2,36823,40320,3,36823,45360,4,36823,50340,,,,,,,,,,42909,3/14/14,2014,3/21/16,
91,Crossroads Plaza III,535,UNION AVENUE,2,New Construction,HDC,2,1434,51,1,50949,67200,2,50949,75600,3,50949,83900,4,50949,83900,,,,,,,42909,3/14/14,2014,3/21/16,
91,Crossroads Plaza III,535,UNION AVENUE,2,New Construction,HDC,3,1175,2,3,42412,45360,4,42412,50340,5,42412,54420,6,42412,58440,,,,,,,42909,3/14/14,2014,3/21/16,
91,Crossroads Plaza III,535,UNION AVENUE,2,New Construction,HDC,3,1649,5,2,58663,75600,3,58663,83900,4,58663,83900,5,58663,97400,6,58663,97400,,,,42909,3/14/14,2014,3/21/16,
92,The Stack,4857,BROADWAY,1,New Construction,HPD,1,909,3,1,31166,40320,2,31166,40320,,,,,,,,,,,,,25785,3/14/14,2014,12/12/14,
92,The Stack,4857,BROADWAY,1,New Construction,HPD,2,1060,3,2,36343,50340,3,36343,50340,4,36343,50340,,,,,,,,,,25785,3/14/14,2014,12/12/14,
93,1070 Washington Avenue,1070,WASHINGTON AVENUE,2,New Construction,HPD,0,785,6,1,28595,35280,,,,,,,,,,,,,,,,16604,4/7/14,2014,NA,
93,1070 Washington Avenue,1070,WASHINGTON AVENUE,2,New Construction,HPD,1,844,6,1,30652,35280,2,30652,40320,,,,,,,,,,,,,16604,4/7/14,2014,NA,
93,1070 Washington Avenue,1070,WASHINGTON AVENUE,2,New Construction,HPD,2,1022,2,2,36823,40320,3,36823,45360,4,36823,50340,,,,,,,,,,16604,4/7/14,2014,NA,
93,1070 Washington Avenue,1070,WASHINGTON AVENUE,2,New Construction,HPD,3,1175,3,4,42412,50340,5,42412,54420,6,42412,58440,,,,,,,,,,16604,4/7/14,2014,NA,
94,1133 Manhattan Avenue,1133,MANHATTAN AVENUE,3,New Construction,HDC,0,494,1,1,18618,23520,,,,,,,,,,,,,,,,58832,5/16/14,2014,4/29/15,
94,1133 Manhattan Avenue,1133,MANHATTAN AVENUE,3,New Construction,HDC,1,532,3,1,19955,23520,2,19955,26880,,,,,,,,,,,,,58832,5/16/14,2014,4/29/15,
94,1133 Manhattan Avenue,1133,MANHATTAN AVENUE,3,New Construction,HDC,1,690,18,1,25372,29400,2,25372,33600,,,,,,,,,,,,,58832,5/16/14,2014,4/29/15,
94,1133 Manhattan Avenue,1133,MANHATTAN AVENUE,3,New Construction,HDC,1,1997,33,1,70183,117600,2,70183,117600,,,,,,,,,,,,,58832,5/16/14,2014,4/29/15,
94,1133 Manhattan Avenue,1133,MANHATTAN AVENUE,3,New Construction,HDC,2,647,3,2,23966,26880,3,23966,30240,4,23966,33560,,,,,,,,,,58832,5/16/14,2014,4/29/15,
94,1133 Manhattan Avenue,1133,MANHATTAN AVENUE,3,New Construction,HDC,2,836,19,2,30446,33600,3,30446,37800,4,30446,41950,,,,,,,,,,58832,5/16/14,2014,4/29/15,
94,1133 Manhattan Avenue,1133,MANHATTAN AVENUE,3,New Construction,HDC,2,2405,28,1,84240,117600,2,84240,132300,3,84240,146825,4,84240,146825,,,,,,,58832,5/16/14,2014,4/29/15,
95,Elliot J Hobbs Gardens,482,FRANKLIN AVENUE,3,New Construction,HDC,0,494,1,1,18618,23520,,,,,,,,,,,,,,,,51124,5/22/14,2014,3/28/16,
95,Elliot J Hobbs Gardens,482,FRANKLIN AVENUE,3,New Construction,HDC,0,640,6,1,23623,29400,,,,,,,,,,,,,,,,51124,5/22/14,2014,3/28/16,
95,Elliot J Hobbs Gardens,482,FRANKLIN AVENUE,3,New Construction,HDC,0,1589,29,1,56160,102900,,,,,,,,,,,,,,,,51124,5/22/14,2014,3/28/16,16
95,Elliot J Hobbs Gardens,482,FRANKLIN AVENUE,3,New Construction,HDC,1,533,1,1,19989,23520,2,19989,26880,,,,,,,,,,,,,51124,5/22/14,2014,3/28/16,
95,Elliot J Hobbs Gardens,482,FRANKLIN AVENUE,3,New Construction,HDC,1,689,2,1,25338,29400,2,25338,33600,,,,,,,,,,,,,51124,5/22/14,2014,3/28/16,
